HGNC ID	Approved Symbol	Approved Name	Previous Symbols	Synonyms	Chromosome	Entrez Gene ID	RefSeq IDs
HGNC:19679	AAK1	AP2 associated kinase 1		KIAA1048, DKFZp686K16132	2p13.3	22848	NM_014911
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	C11orf67	PTD015, FLJ21035, CK067	11q14.1	28971	NM_024684
HGNC:18	AAMP	angio associated migratory cell protein			2q35	14	NM_001087
HGNC:19	AANAT	aralkylamine N-acetyltransferase		SNAT	17q25.1	15	NM_001088
HGNC:15886	AAR2	AAR2 splicing factor homolog	C20orf4	bA234K24.2	20q11.23	25980	NM_015511
HGNC:33842	AARD	alanine and arginine rich domain containing protein	C8orf85	LOC441376	8q24.11	441376	NM_001025357
HGNC:20	AARS	alanyl-tRNA synthetase		CMT2N, AlaRS	16q22.1	16	NM_001605
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL	KIAA1270, bA444E17.1	6p21.1	57505	NM_020745
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1		MGC2744	17q21.31	80755	NM_001261434
HGNC:49894	AARSP1	alanyl-tRNA synthetase pseudogene 1			4q28.3		
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase		NRPS998, LYS2, ACSF4	4q12	132949	NM_181806
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		LYS5, CGI-80, AASD-PPT, ACPS	11q22.3	60496	NM_015423
HGNC:17366	AASS	aminoadipate-semialdehyde synthase		LORSDH, LKRSDH	7q31.32	10157	NM_005763
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer			21q22.3	284837	NR_026961
HGNC:19235	AATF	apoptosis antagonizing transcription factor		DED, CHE-1, CHE1, BFR2	17q12	26574	NM_012138
HGNC:21	AATK	apoptosis associated tyrosine kinase		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	9625	NM_004920
HGNC:22	AAVS1	adeno-associated virus integration site 1		AAV	19q13	17	
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA		INXS	20q11.21	103021294	NR_131907
HGNC:23	ABAT	4-aminobutyrate aminotransferase		GABAT	16p13.2	18	NM_020686
HGNC:24	ABC1~withdrawn	symbol withdrawn, see ABCA1					
HGNC:25	ABC2~withdrawn	symbol withdrawn, see ABCA2					
HGNC:26	ABC3~withdrawn	symbol withdrawn, see ABCA3					
HGNC:28	ABC7~withdrawn	symbol withdrawn, see ABCB7					
HGNC:27	ABC50~withdrawn	symbol withdrawn, see ABCF1					
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	ABC1, HDLDT1	TGD	9q31.1	19	NM_005502
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	ABC2		9q34.3	20	NM_001606
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	ABC3	ABC-C, EST111653, LBM180	16p13.3	21	NM_001089
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	1p22.1	24	NM_000350
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5		EST90625	17q24.3	23461	NM_018672
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6		EST155051	17q24.2-q24.3	23460	NM_080284
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7		ABCX	19p13.3	10347	NM_019112
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8		KIAA0822	17q24.2	10351	NM_007168
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9		EST640918	17q24.2	10350	NM_172386
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1			17q24.2		
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10		EST698739	17q24.3	10349	NM_080282
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ABCA11	EST1133530, FLJ14297	4p16.3	79963	NR_002451.2
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	ICR2B	DKFZP434G232, LI2	2q35	26154	NM_173076
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13		FLJ33876, FLJ33951	7p12.3	154664	NM_152701
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene			16p13.3	650655	NR_003574
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	7q21.12	5243	NM_000927
HGNC:11563	ABCB2~withdrawn	symbol withdrawn, see TAP1					
HGNC:11564	ABCB3~withdrawn	symbol withdrawn, see TAP2					
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	PGY3, MDR3	MDR2, PFIC-3, GBD1	7q21.12	5244	NM_000443
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5		EST422562, ABCB5beta, ABCB5alpha	7p21.1	340273	NM_178559
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)		EST45597, umat, MTABC3	2q35	10058	NM_005689
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	ABC7	EST140535, Atm1p, ASAT	Xq13.3	22	NM_004299
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8		EST328128, M-ABC1, MABC1	7q36.1	11194	NM_007188
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9		EST122234	12q24.31	23457	NM_019624
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10		EST20237, M-ABC2, MTABC2	1q42.13	23456	NM_012089
HGNC:14114	ABCB10P1	ATP binding cassette subfamily B member 10 pseudogene 1	ABCB10P, ABCB10P2	M-ABC2, MABC2	15q11.2	56476	
HGNC:31128	ABCB10P2~withdrawn	symbol withdrawn, see ABCB10P1					
HGNC:31129	ABCB10P3	ATP binding cassette subfamily B member 10 pseudogene 3			15q13.1	728248	
HGNC:31130	ABCB10P4	ATP binding cassette subfamily B member 10 pseudogene 4			15q13.1	100132289	
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	2q31.1	8647	NM_003742
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	MRP, MRP1	GS-X	16p13.11	4363	NM_004996
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	CMOAT	DJS, MRP2, cMRP	10q24.2	1244	NM_000392
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21.33	8714	NM_020038
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4		MRP4, EST170205, MOAT-B, MOATB	13q32.1	10257	NM_005845
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5		MRP5, SMRP, EST277145, MOAT-C	3q27.1	10057	NM_005688
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1			3q27.1		
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	ARA, PXE	MRP6, EST349056, MLP1, URG7	16p13.11	368	
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1			16p12.3	653190	NR_003569
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2			16p13.11	730013	NR_023387
HGNC:58	ABCC7~withdrawn	symbol withdrawn, see CFTR					
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1	6833	NM_000352
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9		SUR2, CMD1O	12p12.1	10060	NM_005691
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10		EST182763, MRP7, SIMRP7	6p21.1	89845	NM_033450
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11		MRP8	16q12.1	85320	NM_032583
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12		MRP9	16q12.1	94160	NM_033226
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)		PRED6, C21orf73, ABCC13P	21q11.2	150000	
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	ALD	AMN, ALDP, adrenoleukodystrophy	Xq28	215	NM_000033
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1			2p11.2	23785	
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2		bA453N3.6	10p11.1	26983	
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3			16p11.2	26982	
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4			22q11.1	26957	
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5			2p11.1	642762	
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	ALDL1	ALDR, ALDRP	12q12	225	NM_005164
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	PXMP1	PMP70, ZWS2	1p21.3	5825	NM_002858
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	PXMP1L	PMP69, P70R, EST352188	14q24.3	5826	NM_005050
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	4q31.21	6059	NM_002940
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	ABC50	EST123147	6p21.33	23	
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript			6p21.33	107986587	
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2		EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	10061	NM_005692
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1			3p11.1	344653	
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2			7q11.22	100422059	
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3		EST201864	3q27.1	55324	NM_018358
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1		ABC8	21q22.3	9619	NM_207174
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)		EST157481, MXR, BCRP, ABCP, CD338	4q22.1	9429	NM_004827
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4		WHITE2	11q23.3	64137	NM_022169
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5		STSL	2p21	64240	NM_022436
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8		GBD4	2p21	64241	NM_022437
HGNC:75	ABCR~withdrawn	symbol withdrawn, see ABCA4					
HGNC:17553	ABHD1	abhydrolase domain containing 1		LABH1, FLJ36128	2p23.3	84696	NM_032604
HGNC:18717	ABHD2	abhydrolase domain containing 2		LABH2	15q26.1	11057	
HGNC:18718	ABHD3	abhydrolase domain containing 3		LABH3	18q11.2	171586	
HGNC:20154	ABHD4	abhydrolase domain containing 4		FLJ12816	14q11.2	63874	
HGNC:21396	ABHD5	abhydrolase domain containing 5		CGI-58, NCIE2	3p21.33	51099	NM_016006
HGNC:21398	ABHD6	abhydrolase domain containing 6			3p14.3	57406	NM_020676
HGNC:23759	ABHD8	abhydrolase domain containing 8		FLJ11743, MGC14280, MGC2512	19p13.11	79575	NM_024527
HGNC:25656	ABHD10	abhydrolase domain containing 10		FLJ11342	3q13.2	55347	NM_018394
HGNC:16407	ABHD11	abhydrolase domain containing 11	WBSCR21	PP1226	7q11.23	83451	
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	WBSCR26, LINC00035	NCRNA00035	7q11.23	171022	NR_026690
HGNC:40012	ABHD11-AS2~withdrawn	entry withdrawn					
HGNC:15868	ABHD12	abhydrolase domain containing 12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	26090	NM_015600
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	C14orf29	BEM46L3	14q22.1	145447	
HGNC:20293	ABHD13	abhydrolase domain containing 13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	13q33.3	84945	NM_032859
HGNC:24538	ABHD14A	abhydrolase domain containing 14A		DKFZP564O243, DORZ1	3p21.2	25864	NM_015407
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough			3p21.2	100526760	
HGNC:28235	ABHD14B	abhydrolase domain containing 14B		MGC15429, CIB	3p21.2	84836	NM_032750
HGNC:26971	ABHD15	abhydrolase domain containing 15			17q11.2	116236	NM_198147
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1		linc-TP53I13, lnc-TP53I13	17q11.2		
HGNC:13921	ABHD16A	abhydrolase domain containing 16A	BAT5	NG26, D6S82E	6p21.33	7920	
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	C20orf135	dJ591C20.1	20q13.33	140701	
HGNC:28756	ABHD17A	abhydrolase domain containing 17A	C19orf27, FAM108A1	MGC5244	19p13.3	81926	NM_031213
HGNC:28394	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	1q21.2	728917	NG_011738
HGNC:33538	ABHD17AP2~withdrawn	symbol withdrawn, see ABHD17AP1					
HGNC:34041	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	FAM108A4, FAM108A4P		1q41	648359	XR_041784
HGNC:34042	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	FAM108A5, FAM108A5P		22q11.21	729495	
HGNC:34043	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	FAM108A6, FAM108A6P		22q11.22	91219	
HGNC:34044	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	FAM108A7P		17p11.2	644988	
HGNC:38508	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	FAM108A8P		16p11.2	100133212	
HGNC:38509	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	FAM108A9P		16p11.2	647144	
HGNC:38510	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	FAM108A10P		16p11.2	100132251	
HGNC:24278	ABHD17B	abhydrolase domain containing 17B	C9orf77, FAM108B1	CGI-67	9q21.13	51104	NM_016014
HGNC:26925	ABHD17C	abhydrolase domain containing 17C	FAM108C1		15q25.1	58489	NM_021214
HGNC:26111	ABHD18	abhydrolase domain containing 18	C4orf29	FLJ21106	4q28.2	80167	NM_001039717
HGNC:11320	ABI1	abl interactor 1	SSH3BP1	E3B1, ABI-1	10p12.1	10006	NM_005470
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	SSH3BP1P, ABI1P		14q22.3	326268	
HGNC:24011	ABI2	abl interactor 2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33.2	10152	NM_005759
HGNC:29859	ABI3	ABI family member 3		NESH, SSH3BP3	17q21.32	51225	NM_016428
HGNC:17265	ABI3BP	ABI family member 3 binding protein		NESHBP, DKFZP586L2024, TARSH	3q12.2	25890	
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL	JTK7, c-ABL, p150	9q34.12	25	NM_007313
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL	ARG	1q25.2	27	NM_005158
HGNC:78	ABLIM1	actin binding LIM protein 1	LIMAB1, ABLIM	abLIM, limatin	10q25.3	3983	
HGNC:19195	ABLIM2	actin binding LIM protein family member 2		KIAA1808	4p16.1	84448	NM_001130083
HGNC:29132	ABLIM3	actin binding LIM protein family member 3		KIAA0843	5q32	22885	NM_014945
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase		A3GALNT, A3GALT1	9q34.2	28	NM_020469
HGNC:81	ABR	active BCR-related		MDB	17p13.3	29	
HGNC:30655	ABRA	actin binding Rho activating protein		STARS	8q23.1	137735	NM_139166
HGNC:21230	ABRACL	ABRA C-terminal like	C6orf115	PRO2013, HSPC280, Costars	6q24.1	58527	NM_021243
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	4q21.23	84142	NM_139076
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	10q26.13	23172	NM_032182
HGNC:17369	ABT1	activator of basal transcription 1		Esf2	6p22.2	29777	
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1			4q23	100420695	NG_025142
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1		BPOZ, EF1ABP, Btb3, BTBD21	3q21.3	80325	NM_172027
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2		DKFZP586C1619, BTBD22, ABTB2A	11p13	25841	NM_145804
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1			3p22.2	30	NM_001607
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2		DSAEC	18q21.1	10449	NM_006111
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	ACAC, ACC	ACC1	17q12	31	NM_198836
HGNC:85	ACACB	acetyl-CoA carboxylase beta		HACC275, ACC2, ACCB	12q24.11	32	NM_001093
HGNC:86	ACAD~withdrawn	entry withdrawn					
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8			11q25	27034	NM_014384
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9		NPD002, MGC14452	3q21.3	28976	NM_014049
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10		MGC5601	12q24.12	80724	NM_025247
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11		FLJ12592	3q22.1	84129	NM_032169
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain		LCAD, ACAD4	2q34	33	NM_001608
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain		MCAD, MCADH, ACAD1	1p31.1	34	
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain		SCAD, ACAD3	12q24.31	35	NM_000017
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain		SBCAD, ACAD7	10q26.13	36	NM_001609
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain		VLCAD, LCACD, ACAD6	17p13.1	37	NM_000018
HGNC:319	ACAN	aggrecan	MSK16, CSPG1, AGC1	CSPGCP	15q26.1	176	NM_001135
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1	KIAA0050	17p13.1	9744	NM_014716
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2	KIAA0041, CNT-B2	3q29	23527	NM_012287
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1			3q29		
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5	KIAA1716	1p36.33	116983	NM_030649
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	ACAT	THIL	11q22.3	38	NM_000019
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2			6q25.3	39	NM_005891
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	GOLPH1, GOCAP1	GCP60, PAP7	1q42.12	64746	NM_022735
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1		RP11-275I14.4	1q42.12	107985353	NR_146443
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4		FLJ13322	17q21.31	79777	NM_024722
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5		DKFZp434A2417, KIAA1996	10p12.1	91452	NM_145698
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6		MGC2404	1q25.2-q25.3	84320	NM_032360
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7		FLJ38219, bA455B2.2	10p13	414149	
HGNC:96	ACBP~withdrawn	symbol withdrawn, see CPN2					
HGNC:97	ACC~withdrawn	symbol withdrawn, see ACACA					
HGNC:98	ACCN~withdrawn	symbol withdrawn, see ASIC2					
HGNC:14594	ACCPN~withdrawn	symbol withdrawn, see SLC12A6					
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)		PHACS, ACS	11p11.2	84680	NM_032592
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like			11p11.2	390110	NM_001031854
HGNC:25070	ACD	ACD, shelterin complex subunit and telomerase recruitment factor		Ptop, Pip1, Tpp1, Tint1	16q22.1	65057	NM_022914
HGNC:2707	ACE	angiotensin I converting enzyme	DCP1	ACE1, CD143	17q23.3	1636	
HGNC:13557	ACE2	angiotensin I converting enzyme 2			Xp22.2	59272	
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene			17q23.3	100129123	
HGNC:18356	ACER1	alkaline ceramidase 1	ASAH3		19p13.3	125981	NM_133492
HGNC:23675	ACER2	alkaline ceramidase 2	ASAH3L	FLJ41587, ALKCDase2	9p22.1	340485	NM_001010887
HGNC:16066	ACER3	alkaline ceramidase 3	PHCA	FLJ11238, APHC	11q13.5	55331	NM_018367
HGNC:106	ACH~withdrawn	symbol withdrawn, see FGFR3					
HGNC:107	ACHAP~withdrawn	symbol withdrawn, see CUTA					
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	YT		7q22.1	43	NM_015831
HGNC:109	ACHM1~withdrawn	symbol withdrawn, see CNGB3					
HGNC:110	ACHM2~withdrawn	symbol withdrawn, see CNGA3					
HGNC:111	ACHM3~withdrawn	symbol withdrawn, see CNGB3					
HGNC:112	ACHRD~withdrawn	symbol withdrawn, see CHRND					
HGNC:113	ACHRG~withdrawn	symbol withdrawn, see CHRNG					
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	KIAA0670, fSAP152	14q11.2	22985	NM_014977
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FY, DARC	CCBP1, GPD, Dfy, CD234	1q23.2	2532	NM_002036
HGNC:1565	ACKR2	atypical chemokine receptor 2	CMKBR9, CCBP2	CCR10, D6, CCR9	3p22.1	1238	NM_001296
HGNC:23692	ACKR3	atypical chemokine receptor 3	CMKOR1, CXCR7	RDC1, GPR159	2q37.3	57007	NM_020311
HGNC:1611	ACKR4	atypical chemokine receptor 4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	3q22.1	51554	NM_016557
HGNC:114	ACLS	acrocallosal syndrome			12p13.3-p11.2	46	
HGNC:115	ACLY	ATP citrate lyase		ATPCL, CLATP, ACL	17q21.2	47	NM_001096
HGNC:116	ACMG~withdrawn	entry withdrawn					
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase			2q21.3	130013	
HGNC:117	ACO1	aconitase 1	IREB1	IRP1, IREBP	9p21.1	48	NM_002197
HGNC:118	ACO2	aconitase 2		ACONM	22q13.2	50	NM_001098
HGNC:33904	ACOD1	aconitate decarboxylase 1	IRG1	CAD	13q22.3	730249	NM_001258406
HGNC:33128	ACOT1	acyl-CoA thioesterase 1		ACH2, CTE-1, LACH2	14q24.3	641371	NM_001037161
HGNC:18431	ACOT2	acyl-CoA thioesterase 2		Mte1, ZAP128	14q24.3	10965	NM_006821
HGNC:19748	ACOT4	acyl-CoA thioesterase 4		FLJ31235, PTE-Ib, PTE2B	14q24.3	122970	NM_152331
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	C14orf42		14q24.3	641372	NM_001037162
HGNC:24157	ACOT7	acyl-CoA thioesterase 7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	1p36.31	11332	NM_007274
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	PTE1	hACTE-III, hTE, PTE-2, NAP1	20q13.12	10005	NM_183386
HGNC:17152	ACOT9	acyl-CoA thioesterase 9		CGI-16, MT-ACT48, ACATE2	Xp22.11	23597	NM_012332
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	1p32.3	26027	NM_015547
HGNC:24436	ACOT12	acyl-CoA thioesterase 12		Cach, THEAL, STARD15	5q14.1	134526	NM_130767
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	THEM2	HT012	6p22.3	55856	NM_018473
HGNC:119	ACOX1	acyl-CoA oxidase 1		PALMCOX	17q25.1	51	
HGNC:120	ACOX2	acyl-CoA oxidase 2		BRCACOX, BRCOX, THCCox	3p14.3	8309	NM_003500
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl			4p16.1	8310	
